X,R1_short,M1_G-D,M1_G-S,R2_open,R1_open,M1_D-S,M2_open,M1_open,R3_short,R3_open,R2_short,M2_G-S,M2_G-D,M2_D-S
1.7948717948717947,0.9918885684983803,0.00466684324062383,0.005362471799999993,-22.10904924769237,1.0000000000000002,0.9998499710029477,0.9918885684983803,0.1859955983384146,0.00022500000000000026,-2.0000000000000004,0.0027428080899201705,0.29581621404657027,-2.7500000000000013,
1.7964997964997962,0.9918885687214052,0.00466684324062383,0.005362471799999993,-21.997598220565525,1.0000000000000002,0.9998499710029477,0.9918885687214052,0.1822595704924349,0.00022500000000000026,-2.0000000000000004,0.002742826106955644,0.29577807177091314,-2.7500000000000013,
1.798127798127798,0.9918885689271038,0.00466684324062383,0.005362471799999993,-21.88499517959383,1.0000000000000002,0.9998499710029477,0.9918885689271038,0.1786077049207696,0.00022500000000000026,-2.0000000000000004,0.0027428438320539115,0.2957401559666847,-2.7500000000000013,
1.7997557997557996,0.991888569116822,0.00466684324062383,0.005362471799999993,-21.77123687499597,1.0000000000000002,0.9998499710029477,0.991888569116822,0.17503897613811437,0.00022500000000000026,-2.0000000000000004,0.0027428612698962426,0.29570246640097164,-2.7500000000000013,
1.801383801383801,0.9918885692918012,0.00466684324062383,0.005362471799999993,-21.656320290114685,1.0000000000000002,0.9998499710029477,0.9918885692918012,0.17155232256426833,0.00022500000000000026,-2.0000000000000004,0.002742878425090429,0.2956650028223497,-2.7500000000000013,
1.803011803011803,0.9918885694531869,0.00466684324062383,0.005362471799999993,-21.540242647458562,1.0000000000000002,0.9998499710029477,0.9918885694531869,0.16814664970103022,0.00022500000000000026,-2.0000000000000004,0.002742895302171886,0.29562776496114257,-2.7500000000000013,
1.8046398046398044,0.9918885696020349,0.00466684324062383,0.005362471799999993,-21.423001414735218,1.0000000000000002,0.9998499710029477,0.9918885696020349,0.16482083321602337,0.00022500000000000026,-2.0000000000000004,0.0027429119056047416,0.29559075252968176,-2.7500000000000013,
1.806267806267806,0.9918885697393189,0.00466684324062383,0.005362471799999993,-21.30459431086991,1.0000000000000002,0.9998499710029477,0.9918885697393189,0.16157372192958508,0.00022500000000000026,-2.0000000000000004,0.0027429282397829053,0.2955539652225668,-2.7500000000000013,
1.8078958078958078,0.9918885698659375,0.00466684324062383,0.005362471799999993,-21.185019312004222,1.0000000000000002,0.9998499710029477,0.9918885698659375,0.15840414070154862,0.00022500000000000026,-2.0000000000000004,0.0027429443090311286,0.2955174027169259,-2.7500000000000013,
1.8095238095238093,0.9918885699827198,0.00466684324062383,0.005362471799999993,-21.064274657468573,1.0000000000000002,0.9998499710029477,0.9918885699827198,0.15531089321534453,0.00022500000000000026,-2.0000000000000004,0.0027429601176060477,0.2954810646726775,-2.7500000000000013,
1.8111518111518108,0.9918885700904292,0.00466684324062383,0.005362471799999993,-20.94235885572192,1.0000000000000002,0.9998499710029477,0.9918885700904292,0.1522927646574368,0.00022500000000000026,-2.0000000000000004,0.002742975669697212,0.2954449507327909,-2.7500000000000013,
1.8127798127798127,0.991888570189771,0.00466684324062383,0.005362471799999993,-20.819270690252985,1.0000000000000002,0.9998499710029477,0.991888570189771,0.14934852429069123,0.00022500000000000026,-2.0000000000000004,0.0027429909694281,0.2954090605235486,-2.7500000000000013,
1.8144078144078142,0.9918885702813949,0.00466684324062383,0.005362471799999993,-20.695009225436177,1.0000000000000002,0.9998499710029477,0.9918885702813949,0.14647692792075917,0.00022500000000000026,-2.0000000000000004,0.002743006020857119,0.29537339365480747,-2.7500000000000013,
1.8160358160358157,0.9918885703659008,0.00466684324062383,0.005362471799999993,-20.569573812335257,1.0000000000000002,0.9998499710029477,0.9918885703659008,0.1436767202550483,0.00022500000000000026,-2.0000000000000004,0.002743020827978594,0.2953379497202606,-2.7500000000000013,
1.8176638176638176,0.9918885704438417,0.00466684324062383,0.005362471799999993,-20.4429640944485,1.0000000000000002,0.9998499710029477,0.9918885704438417,0.140946637154312,0.00022500000000000026,-2.0000000000000004,0.0027430353947237407,0.2953027282976989,-2.7500000000000013,
1.819291819291819,0.9918885705157275,0.00466684324062383,0.005362471799999993,-20.315180013388222,1.0000000000000002,0.9998499710029477,0.9918885705157275,0.13828540777727616,0.00022500000000000026,-2.0000000000000004,0.0027430497249616233,0.2952677289492725,-2.7500000000000013,
1.820919820919821,0.9918885705820285,0.00466684324062383,0.005362471799999993,-20.18622181448722,1.0000000000000002,0.9998499710029477,0.9918885705820285,0.13569175661909727,0.00022500000000000026,-2.0000000000000004,0.0027430638225001045,0.29523295122175197,-2.7500000000000013,
1.8225478225478224,0.9918885706431788,0.00466684324062383,0.005362471799999993,-20.056090052325835,1.0000000000000002,0.9998499710029477,0.9918885706431788,0.13316440544480312,0.00022500000000000026,-2.0000000000000004,0.002743077691086777,0.2951983946467892,-2.7500000000000013,
1.824175824175824,0.9918885706995784,0.00466684324062383,0.005362471799999993,-19.924785596171297,1.0000000000000002,0.9998499710029477,0.9918885706995784,0.13070207511914234,0.00022500000000000026,-2.0000000000000004,0.002743091334409884,0.29516405874117796,-2.7500000000000013,
1.8258038258038258,0.9918885707515964,0.00466684324062383,0.005362471799999993,-19.792309635322876,1.0000000000000002,0.9998499710029477,0.9918885707515964,0.12830348733457053,0.00022500000000000026,-2.0000000000000004,0.002743104756099226,0.2951299430071137,-2.7500000000000013,
1.8274318274318273,0.9918885707995734,0.00466684324062383,0.005362471799999993,-19.658663684355037,1.0000000000000002,0.9998499710029477,0.9918885707995734,0.12596736623932747,0.00022500000000000026,-2.0000000000000004,0.0027431179597270563,0.2950960469324533,-2.7500000000000013,
1.8290598290598288,0.991888570843823,0.00466684324062383,0.005362471799999993,-19.5238495882506,1.0000000000000002,0.9998499710029477,0.991888570843823,0.12369243996776991,0.00022500000000000026,-2.0000000000000004,0.0027431309488089623,0.29506236999097357,-2.7500000000000013,
1.8306878306878307,0.991888570884635,0.00466684324062383,0.005362471799999993,-19.38786952741708,1.0000000000000002,0.9998499710029477,0.991888570884635,0.12147744207532751,0.00022500000000000026,-2.0000000000000004,0.0027431437268047353,0.2950289116426297,-2.7500000000000013,
