X,R-open_(Vt shift),R_Short,G-D short,G-S short,D-S short
-2.0,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-2.0,1.0
-1.999,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.999,1.0
-1.998,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.998,1.0
-1.997,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.997,1.0
-1.996,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.996,1.0
-1.995,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.995,1.0
-1.994,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.994,1.0
-1.993,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.993,1.0
-1.992,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.992,1.0
-1.991,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.991,1.0
-1.99,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.99,1.0
-1.989,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.989,1.0
-1.988,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.988,1.0
-1.987,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.987,1.0
-1.986,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.986,1.0
-1.985,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.985,1.0
-1.984,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.984,1.0
-1.983,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.983,1.0
-1.982,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.982,1.0
-1.981,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.981,1.0
-1.98,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.98,1.0
-1.979,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.979,1.0
-1.978,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.978,1.0
-1.977,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.977,1.0
-1.976,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.976,1.0
-1.975,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.975,1.0
-1.974,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.974,1.0
-1.973,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.973,1.0
-1.972,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.972,1.0
-1.971,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.971,1.0
-1.97,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.97,1.0
-1.969,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.969,1.0
-1.968,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.968,1.0
-1.967,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.967,1.0
-1.966,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.966,1.0
-1.965,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.965,1.0
-1.964,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.964,1.0
-1.963,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.963,1.0
-1.962,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.962,1.0
-1.961,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.961,1.0
-1.96,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.96,1.0
-1.959,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.959,1.0
-1.958,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.958,1.0
-1.957,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.957,1.0
-1.956,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.956,1.0
-1.955,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.955,1.0
-1.954,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.954,1.0
-1.953,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.953,1.0
-1.952,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.952,1.0
-1.951,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.951,1.0
-1.95,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.95,1.0
-1.949,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.949,1.0
-1.948,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.948,1.0
-1.947,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.947,1.0
-1.946,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.946,1.0
-1.945,0.0022930007960590927,6.026801947449005e-07,0.0017028071022061875,-1.945,1.0
