X,R1_open Y,R1_short Y,R2_open Y,R2_short Y,R3_open Y,R3_short Y,M1_G-S_short Y,M1_open Y,M1_G-D_short Y,M1_D-S_short Y,M2_D-S_short Y,M2_G-D_short Y,M2_G-S_short Y,M2_open Y,M3_open Y,M3_D-S_short Y,M3_G-D_short Y,M3_G-S_short Y
-2.0,-0.83907,0.6064699782659999,0.99992,-0.83907,-31.482144900000225,0.9999999999999991,0.5381421587780437,0.6064699782659999,-0.8573604189111164,-0.83907,0.99992,-0.7731731499161624,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.999,-0.83907,0.606469978276867,0.99992,-0.83907,-31.48214490000023,0.9999999999999991,0.538170649039273,0.606469978276867,-0.8573603591506934,-0.83907,0.99992,-0.7731730867064517,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.998,-0.83907,0.606469978287734,0.99992,-0.83907,-31.482144900000232,0.9999999999999991,0.5381991368568038,0.606469978287734,-0.8573602990175274,-0.83907,0.99992,-0.773173023343024,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.997,-0.83907,0.6064699782986009,0.99992,-0.83907,-31.482144900000236,0.9999999999999991,0.5382276222308349,0.6064699782986009,-0.8573602385092934,-0.83907,0.99992,-0.7731729598255068,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.996,-0.83907,0.6064699783094679,0.99992,-0.83907,-31.48214490000024,0.9999999999999991,0.5382561051615937,0.6064699783094679,-0.857360177623652,-0.83907,0.99992,-0.7731728961535265,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.995,-0.83907,0.606469978320335,0.99992,-0.83907,-31.482144900000243,0.9999999999999991,0.5382845856492509,0.606469978320335,-0.8573601163582494,-0.83907,0.99992,-0.7731728323267086,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.994,-0.83907,0.606469978331202,0.99992,-0.83907,-31.482144900000243,0.9999999999999991,0.5383130636940905,0.606469978331202,-0.8573600547107167,-0.83907,0.99992,-0.7731727683446781,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.993,-0.83907,0.606469978342069,0.99992,-0.83907,-31.482144900000247,0.9999999999999991,0.5383415392962263,0.606469978342069,-0.8573599926786707,-0.83907,0.99992,-0.7731727042070585,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.992,-0.83907,0.6064699783529359,0.99992,-0.83907,-31.48214490000025,0.9999999999999991,0.5383700124559425,0.6064699783529359,-0.8573599302597131,-0.83907,0.99992,-0.773172639913473,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
-1.991,-0.83907,0.606469978363803,0.99992,-0.83907,-31.482144900000254,0.9999999999999991,0.5383984831734097,0.606469978363803,-0.8573598674514304,-0.83907,0.99992,-0.7731725754635432,-0.83907,-0.83907,0.9999999999999991,-1.0000000000000009,-0.680417,0.99992
