/Vout_robust X,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y
-2,-0.85728398,-0.85728398,0.99972734,-326.2125371,1,1,-31.4875781,-31.48761353,-98.62544146,-326.2125371
-1.999,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.998,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.997,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.996,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.995,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.994,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.993,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.992,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.991,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.99,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.989,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.988,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.987,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.986,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.985,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.984,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.983,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.982,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.981,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.98,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.979,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.978,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.977,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.976,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.975,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.974,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.973,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.972,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.971,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.97,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.969,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.968,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.967,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.966,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.965,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.964,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.963,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
-1.962,-0.85728398,-0.85728398,0.99972734,-326.2128126,1,1,-31.4875781,-31.48761353,-98.62547563,-326.2128126
