X,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y
-1.95,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.949,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.948,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.947,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.946,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.945,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.944,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.943,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.942,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.941,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.94,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.939,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.938,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.937,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.936,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.935,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.934,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.933,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.932,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.931,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.93,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.929,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.928,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.927,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.926,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.925,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.924,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.923,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.922,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.921,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.92,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.919,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.918,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.917,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.916,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.915,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.914,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.913,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.912,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.911,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.91,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.909,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.908,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.907,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
-1.906,0.074024337,0.078276501,1,0.074024322,0.999727341,0.053790349,0.076085492,0.576595695,0.025934916,0.054353262
