X,robust_vout,R-open_(Vt shift),R_Short,G-D short,G-S short,D-S short
-1.921,3.43E-17,1.71E-13,1.71E-22,3.43E-17,-1.921,1
-1.92,3.46E-17,1.73E-13,1.73E-22,3.46E-17,-1.92,1
-1.919,3.61E-17,1.81E-13,1.81E-22,3.61E-17,-1.919,1
-1.918,3.76E-17,1.88E-13,1.88E-22,3.76E-17,-1.918,1
-1.917,3.91E-17,1.95E-13,1.95E-22,3.91E-17,-1.917,1
-1.916,4.06E-17,2.03E-13,2.03E-22,4.06E-17,-1.916,1
-1.915,4.20E-17,2.10E-13,2.10E-22,4.20E-17,-1.915,1
-1.914,4.35E-17,2.18E-13,2.18E-22,4.35E-17,-1.914,1
-1.913,4.50E-17,2.25E-13,2.25E-22,4.50E-17,-1.913,1
-1.912,4.65E-17,2.33E-13,2.33E-22,4.65E-17,-1.912,1
-1.911,4.80E-17,2.40E-13,2.40E-22,4.80E-17,-1.911,1
-1.91,4.95E-17,2.47E-13,2.47E-22,4.95E-17,-1.91,1
-1.909,5.10E-17,2.55E-13,2.55E-22,5.10E-17,-1.909,1
-1.908,5.24E-17,2.62E-13,2.62E-22,5.24E-17,-1.908,1
-1.907,5.39E-17,2.70E-13,2.70E-22,5.39E-17,-1.907,1
-1.906,5.54E-17,2.77E-13,2.77E-22,5.54E-17,-1.906,1
-1.905,5.69E-17,2.85E-13,2.85E-22,5.69E-17,-1.905,1
-1.904,5.84E-17,2.92E-13,2.92E-22,5.84E-17,-1.904,1
-1.903,5.99E-17,2.99E-13,2.99E-22,5.99E-17,-1.903,1
-1.902,6.14E-17,3.07E-13,3.07E-22,6.14E-17,-1.902,1
-1.901,6.28E-17,3.14E-13,3.14E-22,6.28E-17,-1.901,1
-1.9,6.43E-17,3.22E-13,3.22E-22,6.43E-17,-1.9,1
-1.899,6.58E-17,3.29E-13,3.29E-22,6.58E-17,-1.899,1
-1.898,6.73E-17,3.37E-13,3.37E-22,6.73E-17,-1.898,1
-1.897,6.88E-17,3.44E-13,3.44E-22,6.88E-17,-1.897,1
-1.896,7.03E-17,3.51E-13,3.51E-22,7.03E-17,-1.896,1
-1.895,7.18E-17,3.59E-13,3.59E-22,7.18E-17,-1.895,1
-1.894,7.33E-17,3.66E-13,3.66E-22,7.33E-17,-1.894,1
-1.893,7.47E-17,3.74E-13,3.74E-22,7.47E-17,-1.893,1
-1.892,7.62E-17,3.81E-13,3.81E-22,7.62E-17,-1.892,1
-1.891,7.77E-17,3.89E-13,3.89E-22,7.77E-17,-1.891,1
-1.89,7.92E-17,3.96E-13,3.96E-22,7.92E-17,-1.89,1
-1.889,8.07E-17,4.03E-13,4.03E-22,8.07E-17,-1.889,1
-1.888,8.22E-17,4.11E-13,4.11E-22,8.22E-17,-1.888,1
-1.887,8.37E-17,4.18E-13,4.18E-22,8.37E-17,-1.887,1
-1.886,8.51E-17,4.26E-13,4.26E-22,8.51E-17,-1.886,1
-1.885,8.66E-17,4.33E-13,4.33E-22,8.66E-17,-1.885,1
-1.884,8.81E-17,4.41E-13,4.41E-22,8.81E-17,-1.884,1
-1.883,8.96E-17,4.48E-13,4.48E-22,8.96E-17,-1.883,1
-1.882,9.11E-17,4.55E-13,4.55E-22,9.11E-17,-1.882,1
-1.881,9.26E-17,4.63E-13,4.63E-22,9.26E-17,-1.881,1
-1.88,9.41E-17,4.70E-13,4.70E-22,9.41E-17,-1.88,1
-1.879,9.55E-17,4.78E-13,4.78E-22,9.55E-17,-1.879,1
-1.878,9.70E-17,4.85E-13,4.85E-22,9.70E-17,-1.878,1
-1.877,9.85E-17,4.93E-13,4.93E-22,9.85E-17,-1.877,1
-1.876,1.00E-16,5.00E-13,5.00E-22,1.00E-16,-1.876,1
-1.875,1.01E-16,5.07E-13,5.07E-22,1.01E-16,-1.875,1
-1.874,1.03E-16,5.15E-13,5.15E-22,1.03E-16,-1.874,1
-1.873,1.04E-16,5.22E-13,5.22E-22,1.04E-16,-1.873,1
-1.872,1.06E-16,5.30E-13,5.30E-22,1.06E-16,-1.872,1
-1.871,1.07E-16,5.37E-13,5.37E-22,1.07E-16,-1.871,1
-1.87,1.09E-16,5.45E-13,5.45E-22,1.09E-16,-1.87,1
-1.869,1.10E-16,5.52E-13,5.52E-22,1.10E-16,-1.869,1
-1.868,1.12E-16,5.59E-13,5.59E-22,1.12E-16,-1.868,1
-1.867,1.13E-16,5.67E-13,5.67E-22,1.13E-16,-1.867,1
-1.866,1.15E-16,5.74E-13,5.74E-22,1.15E-16,-1.866,1
-1.865,1.16E-16,5.82E-13,5.82E-22,1.16E-16,-1.865,1
-1.864,1.18E-16,5.89E-13,5.89E-22,1.18E-16,-1.864,1
-1.863,1.19E-16,5.97E-13,5.97E-22,1.19E-16,-1.863,1
-1.862,1.21E-16,6.04E-13,6.04E-22,1.21E-16,-1.862,1
-1.861,1.22E-16,6.11E-13,6.11E-22,1.22E-16,-1.861,1
-1.86,1.24E-16,6.19E-13,6.19E-22,1.24E-16,-1.86,1
-1.859,1.25E-16,6.26E-13,6.26E-22,1.25E-16,-1.859,1
-1.858,1.27E-16,6.34E-13,6.34E-22,1.27E-16,-1.858,1
-1.857,1.28E-16,6.41E-13,6.41E-22,1.28E-16,-1.857,1
-1.856,1.30E-16,6.49E-13,6.49E-22,1.30E-16,-1.856,1
-1.855,1.31E-16,6.56E-13,6.56E-22,1.31E-16,-1.855,1
-1.854,1.33E-16,6.63E-13,6.63E-22,1.33E-16,-1.854,1
-1.853,1.34E-16,6.71E-13,6.71E-22,1.34E-16,-1.853,1
-1.852,1.36E-16,6.78E-13,6.78E-22,1.36E-16,-1.852,1
-1.851,1.37E-16,6.86E-13,6.86E-22,1.37E-16,-1.851,1
-1.85,1.39E-16,6.93E-13,6.93E-22,1.39E-16,-1.85,1
-1.849,1.40E-16,7.01E-13,7.01E-22,1.40E-16,-1.849,1
-1.848,1.42E-16,7.08E-13,7.08E-22,1.42E-16,-1.848,1
-1.847,1.43E-16,7.15E-13,7.15E-22,1.43E-16,-1.847,1
-1.846,1.45E-16,7.23E-13,7.23E-22,1.45E-16,-1.846,1
-1.845,1.46E-16,7.30E-13,7.30E-22,1.46E-16,-1.845,1
-1.844,1.48E-16,7.38E-13,7.38E-22,1.48E-16,-1.844,1
-1.843,1.49E-16,7.45E-13,7.45E-22,1.49E-16,-1.843,1
-1.842,1.51E-16,7.53E-13,7.53E-22,1.51E-16,-1.842,1
-1.841,1.52E-16,7.60E-13,7.60E-22,1.52E-16,-1.841,1
-1.84,1.53E-16,7.67E-13,7.67E-22,1.53E-16,-1.84,1
-1.839,1.60E-16,8.00E-13,8.00E-22,1.60E-16,-1.839,1
-1.838,1.67E-16,8.33E-13,8.33E-22,1.67E-16,-1.838,1
-1.837,1.73E-16,8.66E-13,8.66E-22,1.73E-16,-1.837,1
-1.836,1.80E-16,8.99E-13,8.99E-22,1.80E-16,-1.836,1
-1.835,1.86E-16,9.32E-13,9.32E-22,1.86E-16,-1.835,1
-1.834,1.93E-16,9.65E-13,9.65E-22,1.93E-16,-1.834,1
-1.833,2.00E-16,9.98E-13,9.98E-22,2.00E-16,-1.833,1
-1.832,2.06E-16,1.03E-12,1.03E-21,2.06E-16,-1.832,1
-1.831,2.13E-16,1.06E-12,1.06E-21,2.13E-16,-1.831,1
-1.83,2.19E-16,1.10E-12,1.10E-21,2.19E-16,-1.83,1
-1.829,2.26E-16,1.13E-12,1.13E-21,2.26E-16,-1.829,1
-1.828,2.33E-16,1.16E-12,1.16E-21,2.33E-16,-1.828,1
-1.827,2.39E-16,1.20E-12,1.20E-21,2.39E-16,-1.827,1
-1.826,2.46E-16,1.23E-12,1.23E-21,2.46E-16,-1.826,1
-1.825,2.52E-16,1.26E-12,1.26E-21,2.52E-16,-1.825,1
-1.824,2.59E-16,1.29E-12,1.29E-21,2.59E-16,-1.824,1
-1.823,2.65E-16,1.33E-12,1.33E-21,2.65E-16,-1.823,1
-1.822,2.72E-16,1.36E-12,1.36E-21,2.72E-16,-1.822,1
-1.821,2.79E-16,1.39E-12,1.39E-21,2.79E-16,-1.821,1
-1.82,2.85E-16,1.43E-12,1.43E-21,2.85E-16,-1.82,1
-1.819,2.92E-16,1.46E-12,1.46E-21,2.92E-16,-1.819,1
-1.818,2.98E-16,1.49E-12,1.49E-21,2.98E-16,-1.818,1
-1.817,3.05E-16,1.52E-12,1.52E-21,3.05E-16,-1.817,1
-1.816,3.12E-16,1.56E-12,1.56E-21,3.12E-16,-1.816,1
-1.815,3.18E-16,1.59E-12,1.59E-21,3.18E-16,-1.815,1
-1.814,3.25E-16,1.62E-12,1.62E-21,3.25E-16,-1.814,1
-1.813,3.31E-16,1.66E-12,1.66E-21,3.31E-16,-1.813,1
-1.812,3.38E-16,1.69E-12,1.69E-21,3.38E-16,-1.812,1
-1.811,3.44E-16,1.72E-12,1.72E-21,3.44E-16,-1.811,1
-1.81,3.51E-16,1.76E-12,1.76E-21,3.51E-16,-1.81,1
-1.809,3.58E-16,1.79E-12,1.79E-21,3.58E-16,-1.809,1
-1.808,3.64E-16,1.82E-12,1.82E-21,3.64E-16,-1.808,1
-1.807,3.71E-16,1.85E-12,1.85E-21,3.71E-16,-1.807,1
-1.806,3.77E-16,1.89E-12,1.89E-21,3.77E-16,-1.806,1
-1.805,3.84E-16,1.92E-12,1.92E-21,3.84E-16,-1.805,1
-1.804,3.91E-16,1.95E-12,1.95E-21,3.91E-16,-1.804,1
-1.803,3.97E-16,1.99E-12,1.99E-21,3.97E-16,-1.803,1
-1.802,4.04E-16,2.02E-12,2.02E-21,4.04E-16,-1.802,1
-1.801,4.10E-16,2.05E-12,2.05E-21,4.10E-16,-1.801,1
-1.8,4.17E-16,2.08E-12,2.08E-21,4.17E-16,-1.8,1
-1.799,4.24E-16,2.12E-12,2.12E-21,4.24E-16,-1.799,1
-1.798,4.30E-16,2.15E-12,2.15E-21,4.30E-16,-1.798,1
-1.797,4.37E-16,2.18E-12,2.18E-21,4.37E-16,-1.797,1
-1.796,4.43E-16,2.22E-12,2.22E-21,4.43E-16,-1.796,1
-1.795,4.50E-16,2.25E-12,2.25E-21,4.50E-16,-1.795,1
-1.794,4.56E-16,2.28E-12,2.28E-21,4.56E-16,-1.794,1
-1.793,4.63E-16,2.32E-12,2.32E-21,4.63E-16,-1.793,1
-1.792,4.70E-16,2.35E-12,2.35E-21,4.70E-16,-1.792,1
-1.791,4.76E-16,2.38E-12,2.38E-21,4.76E-16,-1.791,1
-1.79,4.83E-16,2.41E-12,2.41E-21,4.83E-16,-1.79,1
-1.789,4.89E-16,2.45E-12,2.45E-21,4.89E-16,-1.789,1
-1.788,4.96E-16,2.48E-12,2.48E-21,4.96E-16,-1.788,1
-1.787,5.03E-16,2.51E-12,2.51E-21,5.03E-16,-1.787,1
-1.786,5.09E-16,2.55E-12,2.55E-21,5.09E-16,-1.786,1
-1.785,5.16E-16,2.58E-12,2.58E-21,5.16E-16,-1.785,1
-1.784,5.22E-16,2.61E-12,2.61E-21,5.22E-16,-1.784,1
-1.783,5.29E-16,2.64E-12,2.64E-21,5.29E-16,-1.783,1
-1.782,5.35E-16,2.68E-12,2.68E-21,5.35E-16,-1.782,1
-1.781,5.42E-16,2.71E-12,2.71E-21,5.42E-16,-1.781,1
-1.78,5.49E-16,2.74E-12,2.74E-21,5.49E-16,-1.78,1
-1.779,5.55E-16,2.78E-12,2.78E-21,5.55E-16,-1.779,1
-1.778,5.62E-16,2.81E-12,2.81E-21,5.62E-16,-1.778,1
-1.777,5.68E-16,2.84E-12,2.84E-21,5.68E-16,-1.777,1
-1.776,5.75E-16,2.87E-12,2.87E-21,5.75E-16,-1.776,1
-1.775,5.82E-16,2.91E-12,2.91E-21,5.82E-16,-1.775,1
-1.774,5.88E-16,2.94E-12,2.94E-21,5.88E-16,-1.774,1
-1.773,5.95E-16,2.97E-12,2.97E-21,5.95E-16,-1.773,1
-1.772,6.01E-16,3.01E-12,3.01E-21,6.01E-16,-1.772,1
-1.771,6.08E-16,3.04E-12,3.04E-21,6.08E-16,-1.771,1
-1.77,6.14E-16,3.07E-12,3.07E-21,6.14E-16,-1.77,1
-1.769,6.21E-16,3.11E-12,3.11E-21,6.21E-16,-1.769,1
-1.768,6.28E-16,3.14E-12,3.14E-21,6.28E-16,-1.768,1
-1.767,6.34E-16,3.17E-12,3.17E-21,6.34E-16,-1.767,1
-1.766,6.41E-16,3.20E-12,3.20E-21,6.41E-16,-1.766,1
-1.765,6.47E-16,3.24E-12,3.24E-21,6.47E-16,-1.765,1
-1.764,6.54E-16,3.27E-12,3.27E-21,6.54E-16,-1.764,1
-1.763,6.61E-16,3.30E-12,3.30E-21,6.61E-16,-1.763,1
