X,robust_vout,R-open_(Vt shift),R_Short,G-D short,G-S short,D-S short
-0.962,1.95E-09,9.77E-06,9.77E-15,1.95E-09,-0.962,1
-0.961,1.97E-09,9.87E-06,9.87E-15,1.97E-09,-0.961,1
-0.96,1.99E-09,9.96E-06,9.96E-15,1.99E-09,-0.96,1
-0.959,2.08E-09,1.04E-05,1.04E-14,2.08E-09,-0.959,1
-0.958,2.16E-09,1.08E-05,1.08E-14,2.16E-09,-0.958,1
-0.957,2.25E-09,1.12E-05,1.12E-14,2.25E-09,-0.957,1
-0.956,2.33E-09,1.17E-05,1.17E-14,2.33E-09,-0.956,1
-0.955,2.42E-09,1.21E-05,1.21E-14,2.42E-09,-0.955,1
-0.954,2.51E-09,1.25E-05,1.25E-14,2.51E-09,-0.954,1
-0.953,2.59E-09,1.30E-05,1.30E-14,2.59E-09,-0.953,1
-0.952,2.68E-09,1.34E-05,1.34E-14,2.68E-09,-0.952,1
-0.951,2.76E-09,1.38E-05,1.38E-14,2.76E-09,-0.951,1
-0.95,2.85E-09,1.42E-05,1.42E-14,2.85E-09,-0.95,1
-0.949,2.93E-09,1.47E-05,1.47E-14,2.93E-09,-0.949,1
-0.948,3.02E-09,1.51E-05,1.51E-14,3.02E-09,-0.948,1
-0.947,3.10E-09,1.55E-05,1.55E-14,3.10E-09,-0.947,1
-0.946,3.19E-09,1.59E-05,1.60E-14,3.19E-09,-0.946,1
-0.945,3.28E-09,1.64E-05,1.64E-14,3.28E-09,-0.945,1
-0.944,3.36E-09,1.68E-05,1.68E-14,3.36E-09,-0.944,1
-0.943,3.45E-09,1.72E-05,1.72E-14,3.45E-09,-0.943,1
-0.942,3.53E-09,1.77E-05,1.77E-14,3.53E-09,-0.942,1
-0.941,3.62E-09,1.81E-05,1.81E-14,3.62E-09,-0.941,1
-0.94,3.70E-09,1.85E-05,1.85E-14,3.70E-09,-0.94,1
-0.939,3.79E-09,1.89E-05,1.89E-14,3.79E-09,-0.939,1
-0.938,3.87E-09,1.94E-05,1.94E-14,3.87E-09,-0.938,1
-0.937,3.96E-09,1.98E-05,1.98E-14,3.96E-09,-0.937,1
-0.936,4.05E-09,2.02E-05,2.02E-14,4.05E-09,-0.936,1
-0.935,4.13E-09,2.06E-05,2.07E-14,4.13E-09,-0.935,1
-0.934,4.22E-09,2.11E-05,2.11E-14,4.22E-09,-0.934,1
-0.933,4.30E-09,2.15E-05,2.15E-14,4.30E-09,-0.933,1
-0.932,4.39E-09,2.19E-05,2.19E-14,4.39E-09,-0.932,1
-0.931,4.47E-09,2.23E-05,2.24E-14,4.47E-09,-0.931,1
-0.93,4.56E-09,2.28E-05,2.28E-14,4.56E-09,-0.93,1
-0.929,4.64E-09,2.32E-05,2.32E-14,4.64E-09,-0.929,1
-0.928,4.73E-09,2.36E-05,2.36E-14,4.73E-09,-0.928,1
-0.927,4.81E-09,2.41E-05,2.41E-14,4.81E-09,-0.927,1
-0.926,4.90E-09,2.45E-05,2.45E-14,4.90E-09,-0.926,1
-0.925,4.99E-09,2.49E-05,2.49E-14,4.99E-09,-0.925,1
-0.924,5.07E-09,2.53E-05,2.54E-14,5.07E-09,-0.924,1
-0.923,5.16E-09,2.58E-05,2.58E-14,5.16E-09,-0.923,1
-0.922,5.24E-09,2.62E-05,2.62E-14,5.24E-09,-0.922,1
-0.921,5.33E-09,2.66E-05,2.66E-14,5.33E-09,-0.921,1
-0.92,5.41E-09,2.70E-05,2.71E-14,5.41E-09,-0.92,1
-0.919,5.50E-09,2.75E-05,2.75E-14,5.50E-09,-0.919,1
-0.918,5.58E-09,2.79E-05,2.79E-14,5.58E-09,-0.918,1
-0.917,5.67E-09,2.83E-05,2.83E-14,5.67E-09,-0.917,1
-0.916,5.76E-09,2.88E-05,2.88E-14,5.76E-09,-0.916,1
-0.915,5.84E-09,2.92E-05,2.92E-14,5.84E-09,-0.915,1
-0.914,5.93E-09,2.96E-05,2.96E-14,5.93E-09,-0.914,1
-0.913,6.01E-09,3.00E-05,3.01E-14,6.01E-09,-0.913,1
-0.912,6.10E-09,3.05E-05,3.05E-14,6.10E-09,-0.912,1
-0.911,6.18E-09,3.09E-05,3.09E-14,6.18E-09,-0.911,1
-0.91,6.27E-09,3.13E-05,3.13E-14,6.27E-09,-0.91,1
-0.909,6.35E-09,3.17E-05,3.18E-14,6.35E-09,-0.909,1
-0.908,6.44E-09,3.22E-05,3.22E-14,6.44E-09,-0.908,1
-0.907,6.53E-09,3.26E-05,3.26E-14,6.53E-09,-0.907,1
-0.906,6.61E-09,3.30E-05,3.31E-14,6.61E-09,-0.906,1
-0.905,6.70E-09,3.35E-05,3.35E-14,6.70E-09,-0.905,1
-0.904,6.78E-09,3.39E-05,3.39E-14,6.78E-09,-0.904,1
-0.903,6.87E-09,3.43E-05,3.43E-14,6.87E-09,-0.903,1
-0.902,6.95E-09,3.47E-05,3.48E-14,6.95E-09,-0.902,1
-0.901,7.04E-09,3.52E-05,3.52E-14,7.04E-09,-0.901,1
-0.9,7.12E-09,3.56E-05,3.56E-14,7.12E-09,-0.9,1
-0.899,7.21E-09,3.60E-05,3.60E-14,7.21E-09,-0.899,1
-0.898,7.29E-09,3.64E-05,3.65E-14,7.29E-09,-0.898,1
-0.897,7.38E-09,3.69E-05,3.69E-14,7.38E-09,-0.897,1
-0.896,7.47E-09,3.73E-05,3.73E-14,7.47E-09,-0.896,1
-0.895,7.55E-09,3.77E-05,3.78E-14,7.55E-09,-0.895,1
-0.894,7.64E-09,3.82E-05,3.82E-14,7.64E-09,-0.894,1
-0.893,7.72E-09,3.86E-05,3.86E-14,7.72E-09,-0.893,1
-0.892,7.81E-09,3.90E-05,3.90E-14,7.81E-09,-0.892,1
-0.891,7.89E-09,3.94E-05,3.95E-14,7.89E-09,-0.891,1
-0.89,7.98E-09,3.99E-05,3.99E-14,7.98E-09,-0.89,1
-0.889,8.06E-09,4.03E-05,4.03E-14,8.06E-09,-0.889,1
-0.888,8.15E-09,4.07E-05,4.07E-14,8.15E-09,-0.888,1
-0.887,8.24E-09,4.11E-05,4.12E-14,8.24E-09,-0.887,1
-0.886,8.32E-09,4.16E-05,4.16E-14,8.32E-09,-0.886,1
-0.885,8.41E-09,4.20E-05,4.20E-14,8.41E-09,-0.885,1
-0.884,8.49E-09,4.24E-05,4.25E-14,8.49E-09,-0.884,1
-0.883,8.58E-09,4.29E-05,4.29E-14,8.58E-09,-0.883,1
-0.882,8.66E-09,4.33E-05,4.33E-14,8.66E-09,-0.882,1
-0.881,8.75E-09,4.37E-05,4.37E-14,8.75E-09,-0.881,1
-0.88,8.83E-09,4.41E-05,4.42E-14,8.83E-09,-0.88,1
-0.879,9.21E-09,4.60E-05,4.61E-14,9.21E-09,-0.879,1
-0.878,9.59E-09,4.79E-05,4.80E-14,9.59E-09,-0.878,1
-0.877,9.97E-09,4.98E-05,4.99E-14,9.97E-09,-0.877,1
-0.876,1.04E-08,5.17E-05,5.18E-14,1.04E-08,-0.876,1
-0.875,1.07E-08,5.36E-05,5.36E-14,1.07E-08,-0.875,1
-0.874,1.11E-08,5.55E-05,5.55E-14,1.11E-08,-0.874,1
-0.873,1.15E-08,5.73E-05,5.74E-14,1.15E-08,-0.873,1
-0.872,1.19E-08,5.92E-05,5.93E-14,1.19E-08,-0.872,1
-0.871,1.22E-08,6.11E-05,6.12E-14,1.22E-08,-0.871,1
-0.87,1.26E-08,6.30E-05,6.31E-14,1.26E-08,-0.87,1
-0.869,1.30E-08,6.49E-05,6.50E-14,1.30E-08,-0.869,1
-0.868,1.34E-08,6.68E-05,6.69E-14,1.34E-08,-0.868,1
-0.867,1.38E-08,6.87E-05,6.88E-14,1.38E-08,-0.867,1
-0.866,1.41E-08,7.05E-05,7.07E-14,1.41E-08,-0.866,1
-0.865,1.45E-08,7.24E-05,7.26E-14,1.45E-08,-0.865,1
-0.864,1.49E-08,7.43E-05,7.45E-14,1.49E-08,-0.864,1
-0.863,1.53E-08,7.62E-05,7.64E-14,1.53E-08,-0.863,1
-0.862,1.57E-08,7.81E-05,7.83E-14,1.57E-08,-0.862,1
-0.861,1.60E-08,8.00E-05,8.02E-14,1.60E-08,-0.861,1
-0.86,1.64E-08,8.19E-05,8.21E-14,1.64E-08,-0.86,1
-0.859,1.68E-08,8.38E-05,8.40E-14,1.68E-08,-0.859,1
-0.858,1.72E-08,8.56E-05,8.59E-14,1.72E-08,-0.858,1
-0.857,1.76E-08,8.75E-05,8.78E-14,1.76E-08,-0.857,1
-0.856,1.79E-08,8.94E-05,8.97E-14,1.79E-08,-0.856,1
-0.855,1.83E-08,9.13E-05,9.16E-14,1.83E-08,-0.855,1
-0.854,1.87E-08,9.32E-05,9.34E-14,1.87E-08,-0.854,1
-0.853,1.91E-08,9.51E-05,9.53E-14,1.91E-08,-0.853,1
-0.852,1.94E-08,9.70E-05,9.72E-14,1.94E-08,-0.852,1
-0.851,1.98E-08,9.88E-05,9.91E-14,1.98E-08,-0.851,1
-0.85,2.02E-08,0.000100734,1.01E-13,2.02E-08,-0.85,1
-0.849,2.06E-08,0.000102621,1.03E-13,2.06E-08,-0.849,1
-0.848,2.10E-08,0.000104508,1.05E-13,2.10E-08,-0.848,1
-0.847,2.13E-08,0.000106395,1.07E-13,2.13E-08,-0.847,1
-0.846,2.17E-08,0.000108281,1.09E-13,2.17E-08,-0.846,1
-0.845,2.21E-08,0.000110168,1.11E-13,2.21E-08,-0.845,1
-0.844,2.25E-08,0.000112055,1.12E-13,2.25E-08,-0.844,1
-0.843,2.29E-08,0.000113941,1.14E-13,2.29E-08,-0.843,1
-0.842,2.32E-08,0.000115828,1.16E-13,2.32E-08,-0.842,1
-0.841,2.36E-08,0.000117715,1.18E-13,2.36E-08,-0.841,1
-0.84,2.40E-08,0.000119602,1.20E-13,2.40E-08,-0.84,1
-0.839,2.44E-08,0.000121488,1.22E-13,2.44E-08,-0.839,1
-0.838,2.48E-08,0.000123375,1.24E-13,2.48E-08,-0.838,1
-0.837,2.51E-08,0.000125262,1.26E-13,2.51E-08,-0.837,1
-0.836,2.55E-08,0.000127149,1.28E-13,2.55E-08,-0.836,1
-0.835,2.59E-08,0.000129035,1.29E-13,2.59E-08,-0.835,1
-0.834,2.63E-08,0.000130922,1.31E-13,2.63E-08,-0.834,1
-0.833,2.66E-08,0.000132809,1.33E-13,2.66E-08,-0.833,1
-0.832,2.70E-08,0.000134695,1.35E-13,2.70E-08,-0.832,1
-0.831,2.74E-08,0.000136582,1.37E-13,2.74E-08,-0.831,1
-0.83,2.78E-08,0.000138469,1.39E-13,2.78E-08,-0.83,1
-0.829,2.82E-08,0.000140356,1.41E-13,2.82E-08,-0.829,1
-0.828,2.85E-08,0.000142242,1.43E-13,2.85E-08,-0.828,1
-0.827,2.89E-08,0.000144129,1.45E-13,2.89E-08,-0.827,1
-0.826,2.93E-08,0.000146016,1.47E-13,2.93E-08,-0.826,1
-0.825,2.97E-08,0.000147902,1.48E-13,2.97E-08,-0.825,1
-0.824,3.01E-08,0.000149789,1.50E-13,3.01E-08,-0.824,1
-0.823,3.04E-08,0.000151676,1.52E-13,3.04E-08,-0.823,1
-0.822,3.08E-08,0.000153563,1.54E-13,3.08E-08,-0.822,1
-0.821,3.12E-08,0.000155449,1.56E-13,3.12E-08,-0.821,1
-0.82,3.16E-08,0.000157336,1.58E-13,3.16E-08,-0.82,1
-0.819,3.20E-08,0.000159223,1.60E-13,3.20E-08,-0.819,1
-0.818,3.23E-08,0.00016111,1.62E-13,3.23E-08,-0.818,1
-0.817,3.27E-08,0.000162996,1.64E-13,3.27E-08,-0.817,1
-0.816,3.31E-08,0.000164883,1.65E-13,3.31E-08,-0.816,1
-0.815,3.35E-08,0.00016677,1.67E-13,3.35E-08,-0.815,1
-0.814,3.39E-08,0.000168656,1.69E-13,3.39E-08,-0.814,1
-0.813,3.42E-08,0.000170543,1.71E-13,3.42E-08,-0.813,1
-0.812,3.46E-08,0.00017243,1.73E-13,3.46E-08,-0.812,1
-0.811,3.50E-08,0.000174317,1.75E-13,3.50E-08,-0.811,1
-0.81,3.54E-08,0.000176203,1.77E-13,3.54E-08,-0.81,1
-0.809,3.57E-08,0.00017809,1.79E-13,3.57E-08,-0.809,1
-0.808,3.61E-08,0.000179977,1.81E-13,3.61E-08,-0.808,1
-0.807,3.65E-08,0.000181863,1.83E-13,3.65E-08,-0.807,1
-0.806,3.69E-08,0.00018375,1.84E-13,3.69E-08,-0.806,1
-0.805,3.73E-08,0.000185637,1.86E-13,3.73E-08,-0.805,1
-0.804,3.76E-08,0.000187524,1.88E-13,3.76E-08,-0.804,1
-0.803,3.80E-08,0.00018941,1.90E-13,3.80E-08,-0.803,1
-0.802,3.84E-08,0.000191297,1.92E-13,3.84E-08,-0.802,1
-0.801,3.88E-08,0.000193184,1.94E-13,3.88E-08,-0.801,1
-0.8,3.92E-08,0.000195071,1.96E-13,3.92E-08,-0.8,1
-0.799,4.08E-08,0.000203306,2.04E-13,4.08E-08,-0.799,1
-0.798,4.25E-08,0.000211542,2.13E-13,4.25E-08,-0.798,1
-0.797,4.42E-08,0.000219778,2.21E-13,4.42E-08,-0.797,1
-0.796,4.59E-08,0.000228014,2.29E-13,4.59E-08,-0.796,1
-0.795,4.76E-08,0.000236249,2.38E-13,4.76E-08,-0.795,1
-0.794,4.92E-08,0.000244485,2.46E-13,4.92E-08,-0.794,1
-0.793,5.09E-08,0.000252721,2.55E-13,5.09E-08,-0.793,1
-0.792,5.26E-08,0.000260957,2.63E-13,5.26E-08,-0.792,1
-0.791,5.43E-08,0.000269193,2.71E-13,5.43E-08,-0.791,1
-0.79,5.60E-08,0.000277428,2.80E-13,5.60E-08,-0.79,1
-0.789,5.76E-08,0.000285664,2.88E-13,5.76E-08,-0.789,1
-0.788,5.93E-08,0.0002939,2.97E-13,5.93E-08,-0.788,1
-0.787,6.10E-08,0.000302136,3.05E-13,6.10E-08,-0.787,1
-0.786,6.27E-08,0.000310371,3.13E-13,6.27E-08,-0.786,1
-0.785,6.44E-08,0.000318607,3.22E-13,6.44E-08,-0.785,1
-0.784,6.60E-08,0.000326843,3.30E-13,6.60E-08,-0.784,1
-0.783,6.77E-08,0.000335079,3.39E-13,6.77E-08,-0.783,1
-0.782,6.94E-08,0.000343315,3.47E-13,6.94E-08,-0.782,1
-0.781,7.11E-08,0.00035155,3.55E-13,7.11E-08,-0.781,1
-0.78,7.28E-08,0.000359786,3.64E-13,7.28E-08,-0.78,1
-0.779,7.44E-08,0.000368022,3.72E-13,7.44E-08,-0.779,1
-0.778,7.61E-08,0.000376258,3.81E-13,7.61E-08,-0.778,1
-0.777,7.78E-08,0.000384493,3.89E-13,7.78E-08,-0.777,1
-0.776,7.95E-08,0.000392729,3.97E-13,7.95E-08,-0.776,1
-0.775,8.12E-08,0.000400965,4.06E-13,8.12E-08,-0.775,1
-0.774,8.28E-08,0.000409201,4.14E-13,8.28E-08,-0.774,1
-0.773,8.45E-08,0.000417437,4.23E-13,8.45E-08,-0.773,1
-0.772,8.62E-08,0.000425672,4.31E-13,8.62E-08,-0.772,1
-0.771,8.79E-08,0.000433908,4.39E-13,8.79E-08,-0.771,1
-0.77,8.96E-08,0.000442144,4.48E-13,8.96E-08,-0.77,1
-0.769,9.12E-08,0.00045038,4.56E-13,9.12E-08,-0.769,1
-0.768,9.29E-08,0.000458615,4.65E-13,9.29E-08,-0.768,1
-0.767,9.46E-08,0.000466851,4.73E-13,9.46E-08,-0.767,1
-0.766,9.63E-08,0.000475087,4.81E-13,9.63E-08,-0.766,1
-0.765,9.80E-08,0.000483323,4.90E-13,9.80E-08,-0.765,1
-0.764,9.96E-08,0.000491559,4.98E-13,9.96E-08,-0.764,1
-0.763,1.01E-07,0.000499794,5.07E-13,1.01E-07,-0.763,1
-0.762,1.03E-07,0.00050803,5.15E-13,1.03E-07,-0.762,1
-0.761,1.05E-07,0.000516266,5.23E-13,1.05E-07,-0.761,1
-0.76,1.06E-07,0.000524502,5.32E-13,1.06E-07,-0.76,1
-0.759,1.08E-07,0.000532737,5.40E-13,1.08E-07,-0.759,1
-0.758,1.10E-07,0.000540973,5.49E-13,1.10E-07,-0.758,1
-0.757,1.11E-07,0.000549209,5.57E-13,1.11E-07,-0.757,1
-0.756,1.13E-07,0.000557445,5.65E-13,1.13E-07,-0.756,1
-0.755,1.15E-07,0.000565681,5.74E-13,1.15E-07,-0.755,1
-0.754,1.16E-07,0.000573916,5.82E-13,1.16E-07,-0.754,1
-0.753,1.18E-07,0.000582152,5.91E-13,1.18E-07,-0.753,1
-0.752,1.20E-07,0.000590388,5.99E-13,1.20E-07,-0.752,1
-0.751,1.21E-07,0.000598624,6.07E-13,1.21E-07,-0.751,1
-0.75,1.23E-07,0.000606859,6.16E-13,1.23E-07,-0.75,1
-0.749,1.25E-07,0.000615095,6.24E-13,1.25E-07,-0.749,1
-0.748,1.27E-07,0.000623331,6.33E-13,1.27E-07,-0.748,1
-0.747,1.28E-07,0.000631567,6.41E-13,1.28E-07,-0.747,1
-0.746,1.30E-07,0.000639803,6.49E-13,1.30E-07,-0.746,1
-0.745,1.32E-07,0.000648038,6.58E-13,1.32E-07,-0.745,1
-0.744,1.33E-07,0.000656274,6.66E-13,1.33E-07,-0.744,1
-0.743,1.35E-07,0.00066451,6.75E-13,1.35E-07,-0.743,1
-0.742,1.37E-07,0.000672746,6.83E-13,1.37E-07,-0.742,1
-0.741,1.38E-07,0.000680981,6.91E-13,1.38E-07,-0.741,1
-0.74,1.40E-07,0.000689217,7.00E-13,1.40E-07,-0.74,1
-0.739,1.42E-07,0.000697453,7.08E-13,1.42E-07,-0.739,1
-0.738,1.43E-07,0.000705689,7.17E-13,1.43E-07,-0.738,1
-0.737,1.45E-07,0.000713925,7.25E-13,1.45E-07,-0.737,1
-0.736,1.47E-07,0.00072216,7.33E-13,1.47E-07,-0.736,1
-0.735,1.48E-07,0.000730396,7.42E-13,1.48E-07,-0.735,1
-0.734,1.50E-07,0.000738632,7.50E-13,1.50E-07,-0.734,1
-0.733,1.52E-07,0.000746868,7.59E-13,1.52E-07,-0.733,1
-0.732,1.53E-07,0.000755103,7.67E-13,1.53E-07,-0.732,1
-0.731,1.55E-07,0.000763339,7.75E-13,1.55E-07,-0.731,1
-0.73,1.57E-07,0.000771575,7.84E-13,1.57E-07,-0.73,1
-0.729,1.58E-07,0.000779811,7.92E-13,1.58E-07,-0.729,1
-0.728,1.60E-07,0.000788047,8.01E-13,1.60E-07,-0.728,1
-0.727,1.62E-07,0.000796282,8.09E-13,1.62E-07,-0.727,1
-0.726,1.63E-07,0.000804518,8.18E-13,1.63E-07,-0.726,1
-0.725,1.65E-07,0.000812754,8.26E-13,1.65E-07,-0.725,1
-0.724,1.67E-07,0.00082099,8.34E-13,1.67E-07,-0.724,1
-0.723,1.69E-07,0.000829225,8.43E-13,1.69E-07,-0.723,1
-0.722,1.70E-07,0.000837461,8.51E-13,1.70E-07,-0.722,1
-0.721,1.72E-07,0.000845697,8.60E-13,1.72E-07,-0.721,1
-0.72,1.74E-07,0.000853933,8.68E-13,1.74E-07,-0.72,1
-0.719,1.81E-07,0.00088816,9.05E-13,1.81E-07,-0.719,1
-0.718,1.88E-07,0.000922388,9.42E-13,1.88E-07,-0.718,1
-0.717,1.96E-07,0.000956616,9.80E-13,1.96E-07,-0.717,1
-0.716,2.03E-07,0.000990843,1.02E-12,2.03E-07,-0.716,1
-0.715,2.11E-07,0.001025071,1.05E-12,2.11E-07,-0.715,1
-0.714,2.18E-07,0.001059299,1.09E-12,2.18E-07,-0.714,1
-0.713,2.26E-07,0.001093526,1.13E-12,2.26E-07,-0.713,1
-0.712,2.33E-07,0.001127754,1.17E-12,2.33E-07,-0.712,1
-0.711,2.41E-07,0.001161981,1.20E-12,2.41E-07,-0.711,1
-0.71,2.48E-07,0.001196209,1.24E-12,2.48E-07,-0.71,1
-0.709,2.56E-07,0.001230437,1.28E-12,2.56E-07,-0.709,1
-0.708,2.63E-07,0.001264664,1.31E-12,2.63E-07,-0.708,1
-0.707,2.70E-07,0.001298892,1.35E-12,2.70E-07,-0.707,1
-0.706,2.78E-07,0.00133312,1.39E-12,2.78E-07,-0.706,1
-0.705,2.85E-07,0.001367347,1.43E-12,2.85E-07,-0.705,1
-0.704,2.93E-07,0.001401575,1.46E-12,2.93E-07,-0.704,1
-0.703,3.00E-07,0.001435802,1.50E-12,3.00E-07,-0.703,1
-0.702,3.08E-07,0.00147003,1.54E-12,3.08E-07,-0.702,1
-0.701,3.15E-07,0.001504258,1.58E-12,3.15E-07,-0.701,1
-0.7,3.23E-07,0.001538485,1.61E-12,3.23E-07,-0.7,1
-0.699,3.30E-07,0.001572713,1.65E-12,3.30E-07,-0.699,1
-0.698,3.37E-07,0.001606941,1.69E-12,3.37E-07,-0.698,1
-0.697,3.45E-07,0.001641168,1.72E-12,3.45E-07,-0.697,1
-0.696,3.52E-07,0.001675396,1.76E-12,3.52E-07,-0.696,1
-0.695,3.60E-07,0.001709624,1.80E-12,3.60E-07,-0.695,1
-0.694,3.67E-07,0.001743851,1.84E-12,3.67E-07,-0.694,1
-0.693,3.75E-07,0.001778079,1.87E-12,3.75E-07,-0.693,1
-0.692,3.82E-07,0.001812306,1.91E-12,3.82E-07,-0.692,1
-0.691,3.90E-07,0.001846534,1.95E-12,3.90E-07,-0.691,1
-0.69,3.97E-07,0.001880762,1.99E-12,3.97E-07,-0.69,1
-0.689,4.04E-07,0.001914989,2.02E-12,4.04E-07,-0.689,1
-0.688,4.12E-07,0.001949217,2.06E-12,4.12E-07,-0.688,1
-0.687,4.19E-07,0.001983445,2.10E-12,4.19E-07,-0.687,1
-0.686,4.27E-07,0.002017672,2.13E-12,4.27E-07,-0.686,1
-0.685,4.34E-07,0.0020519,2.17E-12,4.34E-07,-0.685,1
-0.684,4.42E-07,0.002086127,2.21E-12,4.42E-07,-0.684,1
-0.683,4.49E-07,0.002120355,2.25E-12,4.49E-07,-0.683,1
-0.682,4.57E-07,0.002154583,2.28E-12,4.57E-07,-0.682,1
-0.681,4.64E-07,0.00218881,2.32E-12,4.64E-07,-0.681,1
-0.68,4.72E-07,0.002223038,2.36E-12,4.72E-07,-0.68,1
-0.679,4.79E-07,0.002257266,2.39E-12,4.79E-07,-0.679,1
-0.678,4.86E-07,0.002291493,2.43E-12,4.86E-07,-0.678,1
-0.677,4.94E-07,0.002325721,2.47E-12,4.94E-07,-0.677,1
-0.676,5.01E-07,0.002359948,2.51E-12,5.01E-07,-0.676,1
-0.675,5.09E-07,0.002394176,2.54E-12,5.09E-07,-0.675,1
-0.674,5.16E-07,0.002428404,2.58E-12,5.16E-07,-0.674,1
-0.673,5.24E-07,0.002462631,2.62E-12,5.24E-07,-0.673,1
-0.672,5.31E-07,0.002496859,2.66E-12,5.31E-07,-0.672,1
-0.671,5.39E-07,0.002531087,2.69E-12,5.39E-07,-0.671,1
-0.67,5.46E-07,0.002565314,2.73E-12,5.46E-07,-0.67,1
-0.669,5.53E-07,0.002599542,2.77E-12,5.53E-07,-0.669,1
-0.668,5.61E-07,0.002633769,2.80E-12,5.61E-07,-0.668,1
-0.667,5.68E-07,0.002667997,2.84E-12,5.68E-07,-0.667,1
-0.666,5.76E-07,0.002702225,2.88E-12,5.76E-07,-0.666,1
-0.665,5.83E-07,0.002736452,2.92E-12,5.83E-07,-0.665,1
-0.664,5.91E-07,0.00277068,2.95E-12,5.91E-07,-0.664,1
-0.663,5.98E-07,0.002804908,2.99E-12,5.98E-07,-0.663,1
-0.662,6.06E-07,0.002839135,3.03E-12,6.06E-07,-0.662,1
-0.661,6.13E-07,0.002873363,3.07E-12,6.13E-07,-0.661,1
-0.66,6.20E-07,0.00290759,3.10E-12,6.20E-07,-0.66,1
-0.659,6.28E-07,0.002941818,3.14E-12,6.28E-07,-0.659,1
-0.658,6.35E-07,0.002976046,3.18E-12,6.35E-07,-0.658,1
-0.657,6.43E-07,0.003010273,3.21E-12,6.43E-07,-0.657,1
-0.656,6.50E-07,0.003044501,3.25E-12,6.50E-07,-0.656,1
-0.655,6.58E-07,0.003078729,3.29E-12,6.58E-07,-0.655,1
-0.654,6.65E-07,0.003112956,3.33E-12,6.65E-07,-0.654,1
-0.653,6.73E-07,0.003147184,3.36E-12,6.73E-07,-0.653,1
-0.652,6.80E-07,0.003181412,3.40E-12,6.80E-07,-0.652,1
-0.651,6.88E-07,0.003215639,3.44E-12,6.88E-07,-0.651,1
-0.65,6.95E-07,0.003249867,3.47E-12,6.95E-07,-0.65,1
-0.649,7.02E-07,0.003284094,3.51E-12,7.02E-07,-0.649,1
-0.648,7.10E-07,0.003318322,3.55E-12,7.10E-07,-0.648,1
-0.647,7.17E-07,0.00335255,3.59E-12,7.17E-07,-0.647,1
-0.646,7.25E-07,0.003386777,3.62E-12,7.25E-07,-0.646,1
-0.645,7.32E-07,0.003421005,3.66E-12,7.32E-07,-0.645,1
-0.644,7.40E-07,0.003455233,3.70E-12,7.40E-07,-0.644,1
-0.643,7.47E-07,0.00348946,3.74E-12,7.47E-07,-0.643,1
-0.642,7.55E-07,0.003523688,3.77E-12,7.55E-07,-0.642,1
-0.641,7.62E-07,0.003557915,3.81E-12,7.62E-07,-0.641,1
-0.64,7.69E-07,0.003592143,3.85E-12,7.69E-07,-0.64,1
-0.639,8.02E-07,0.003712973,4.01E-12,8.02E-07,-0.639,1
-0.638,8.35E-07,0.003833803,4.18E-12,8.35E-07,-0.638,1
-0.637,8.68E-07,0.003954634,4.34E-12,8.68E-07,-0.637,1
-0.636,9.01E-07,0.004075464,4.51E-12,9.01E-07,-0.636,1
-0.635,9.34E-07,0.004196294,4.67E-12,9.34E-07,-0.635,1
-0.634,9.68E-07,0.004317124,4.84E-12,9.68E-07,-0.634,1
-0.633,1.00E-06,0.004437954,5.00E-12,1.00E-06,-0.633,1
-0.632,1.03E-06,0.004558784,5.17E-12,1.03E-06,-0.632,1
-0.631,1.07E-06,0.004679614,5.33E-12,1.07E-06,-0.631,1
-0.63,1.10E-06,0.004800445,5.50E-12,1.10E-06,-0.63,1
-0.629,1.13E-06,0.004921275,5.66E-12,1.13E-06,-0.629,1
-0.628,1.17E-06,0.005042105,5.83E-12,1.17E-06,-0.628,1
-0.627,1.20E-06,0.005162935,5.99E-12,1.20E-06,-0.627,1
-0.626,1.23E-06,0.005283765,6.16E-12,1.23E-06,-0.626,1
-0.625,1.26E-06,0.005404595,6.32E-12,1.26E-06,-0.625,1
-0.624,1.30E-06,0.005525426,6.49E-12,1.30E-06,-0.624,1
-0.623,1.33E-06,0.005646256,6.65E-12,1.33E-06,-0.623,1
-0.622,1.36E-06,0.005767086,6.82E-12,1.36E-06,-0.622,1
-0.621,1.40E-06,0.005887916,6.98E-12,1.40E-06,-0.621,1
-0.62,1.43E-06,0.006008746,7.15E-12,1.43E-06,-0.62,1
-0.619,1.46E-06,0.006129576,7.31E-12,1.46E-06,-0.619,1
-0.618,1.50E-06,0.006250406,7.48E-12,1.50E-06,-0.618,1
-0.617,1.53E-06,0.006371237,7.64E-12,1.53E-06,-0.617,1
-0.616,1.56E-06,0.006492067,7.81E-12,1.56E-06,-0.616,1
-0.615,1.59E-06,0.006612897,7.97E-12,1.59E-06,-0.615,1
-0.614,1.63E-06,0.006733727,8.14E-12,1.63E-06,-0.614,1
-0.613,1.66E-06,0.006854557,8.30E-12,1.66E-06,-0.613,1
-0.612,1.69E-06,0.006975387,8.47E-12,1.69E-06,-0.612,1
-0.611,1.73E-06,0.007096217,8.63E-12,1.73E-06,-0.611,1
-0.61,1.76E-06,0.007217048,8.80E-12,1.76E-06,-0.61,1
-0.609,1.79E-06,0.007337878,8.96E-12,1.79E-06,-0.609,1
-0.608,1.83E-06,0.007458708,9.13E-12,1.83E-06,-0.608,1
