X,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y,/Vout Y
-1.964,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.963,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.962,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.961,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.96,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.959,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.958,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.957,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.956,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.955,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.954,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.953,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.952,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.951,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.95,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.949,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.948,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.947,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.946,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.945,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.944,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.943,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.942,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.941,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.94,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.939,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
-1.938,0.055487524,0.99984997,0.053624718,-30.48722949,1,0.99984997,0.055487524,0.99985,0.99984997,0.99984997,0.002536105,0.31588257,0.99984997,0.053624718
