X,R1_short,R1_open,R1_redundant_short,R1_redundant_open,R2_short,R2_open,R2_redundant_short,R2_redundant_open,M1_open_D,M1_G-S_short,M1_G-D_short,M1_D-S_short,M2_open_D,M2_G-S_short,M2_G-D_short,M2_D-S_short,M1_redundant_open,M1_redundant_G-S_short,M1_redundant_G-D_short,M1_redundant_D-S_short,M2_redundant_open,M2_redundant_G-S,M2_redundant_G-D,M2_redundant_D-S,M1_switch_G-D,M1_switch_D-S,M1_switch_open&M1 is faulty,M2_switch_G-D,M2_switch_D-S,M2_switch_open&M2 is faulty,M_R1_switch_G-D,M_R1_switch_D-S,M_R1_switch_open&M_R1 is faulty,M_R2_switch_G-D,M_R2_witch_D-S,M_R2_switch_open&M_R2_ is faulty
-2.0,-0.9121952393799914,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323726,-0.9112189808341554,-0.8658874916678352,-0.9432096770157681,-0.13787654439248048,-0.8275106919381864,-0.9957346022603947,-1.0141866880439079,-1.1602891082040214,-0.14449460391932523,-1.060715483960655,-0.9531350498092837,-0.18503030756786298,-1.5562957924256278,-1.3423155942432994,-1.641184841786622,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323726,-0.9112189808341554,-0.8658874916678352,-0.9432096770157681,-0.13787654439248048,-0.8275106919381864,-0.9957346022603947,-1.0141866880439079,-1.1602891082040214,-1.641184841786622,-1.4820613929999997,-1.641184841786622
-1.999,-0.9121940343705777,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323629,-0.9112189808341554,-0.86588723355207,-0.9432084310734608,-0.13787654439248048,-0.8275106919381864,-0.9957346022603847,-1.0141866880439079,-1.1602887623376317,-0.14449460391932523,-1.0607154839606445,-0.9531350498092837,-0.18503030756786298,-1.5562937366760552,-1.342315166192396,-1.641182673845332,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323629,-0.9112189808341554,-0.86588723355207,-0.9432084310734608,-0.13787654439248048,-0.8275106919381864,-0.9957346022603847,-1.0141866880439079,-1.1602887623376317,-1.641182673845332,-1.4820613929999997,-1.641182673845332
-1.998,-0.9121928272937876,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323534,-0.9112189808341554,-0.8658869746896656,-0.943207182993539,-0.13787654439248048,-0.8275106919381864,-0.9957346022603747,-1.0141866880439079,-1.160288415470767,-0.14449460391932523,-1.0607154839606336,-0.9531350498092837,-0.18503030756786298,-1.55629167739949,-1.3423147369162445,-1.6411805021845907,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323534,-0.9112189808341554,-0.8658869746896656,-0.943207182993539,-0.13787654439248048,-0.8275106919381864,-0.9957346022603747,-1.0141866880439079,-1.160288415470767,-1.6411805021845907,-1.4820613929999997,-1.6411805021845907
-1.997,-0.9121916181460941,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323435,-0.9112189808341554,-0.8658867150784635,-0.9432059327723558,-0.13787654439248048,-0.8275106919381864,-0.9957346022603645,-1.0141866880439079,-1.1602880676005356,-0.14449460391932523,-1.060715483960623,-0.9531350498092837,-0.18503030756786298,-1.5562896145899143,-1.3423143064113388,-1.6411783267980524,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323435,-0.9112189808341554,-0.8658867150784635,-0.9432059327723558,-0.13787654439248048,-0.8275106919381864,-0.9957346022603645,-1.0141866880439079,-1.1602880676005356,-1.6411783267980524,-1.4820613929999997,-1.6411783267980524
-1.996,-0.912190406923964,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323336,-0.9112189808341554,-0.8658864547162985,-0.9432046804062582,-0.13787654439248048,-0.8275106919381864,-0.9957346022603542,-1.0141866880439079,-1.1602877187240357,-0.14449460391932523,-1.0607154839606119,-0.9531350498092837,-0.18503030756786298,-1.5562875482413012,-1.342313874674164,-1.641176147679361,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323336,-0.9112189808341554,-0.8658864547162985,-0.9432046804062582,-0.13787654439248048,-0.8275106919381864,-0.9957346022603542,-1.0141866880439079,-1.1602877187240357,-1.641176147679361,-1.4820613929999997,-1.641176147679361
-1.995,-0.9121891936238586,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323237,-0.9112189808341554,-0.8658861936009996,-0.9432034258915869,-0.13787654439248048,-0.8275106919381864,-0.9957346022603438,-1.0141866880439079,-1.1602873688383586,-0.14449460391932523,-1.0607154839606008,-0.9531350498092837,-0.18503030756786298,-1.5562854783476128,-1.342313441701195,-1.6411739648221493,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323237,-0.9112189808341554,-0.8658861936009996,-0.9432034258915869,-0.13787654439248048,-0.8275106919381864,-0.9957346022603438,-1.0141866880439079,-1.1602873688383586,-1.6411739648221493,-1.4820613929999997,-1.6411739648221493
-1.994,-0.9121879782422329,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323136,-0.9112189808341554,-0.8658859317303894,-0.9432021692246767,-0.13787654439248048,-0.8275106919381864,-0.9957346022603333,-1.0141866880439079,-1.160287017940586,-0.14449460391932523,-1.0607154839605895,-0.9531350498092837,-0.18503030756786298,-1.5562834049028014,-1.342313007488896,-1.6411717782200397,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323136,-0.9112189808341554,-0.8658859317303894,-0.9432021692246767,-0.13787654439248048,-0.8275106919381864,-0.9957346022603333,-1.0141866880439079,-1.160287017940586,-1.6411717782200397,-1.4820613929999997,-1.6411717782200397
-1.993,-0.912186760775536,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287323033,-0.9112189808341554,-0.865885669102284,-0.943200910401856,-0.13787654439248048,-0.8275106919381864,-0.9957346022603226,-1.0141866880439079,-1.1602866660277922,-0.14449460391932523,-1.0607154839605781,-0.9531350498092837,-0.18503030756786298,-1.556281327900809,-1.3423125720337217,-1.6411695878666437,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287323033,-0.9112189808341554,-0.865885669102284,-0.943200910401856,-0.13787654439248048,-0.8275106919381864,-0.9957346022603226,-1.0141866880439079,-1.1602866660277922,-1.6411695878666437,-1.4820613929999997,-1.6411695878666437
-1.992,-0.912185541220211,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.955599428732293,-0.9112189808341554,-0.8658854057144936,-0.943199649419447,-0.13787654439248048,-0.8275106919381864,-0.9957346022603117,-1.0141866880439079,-1.1602863130970422,-0.14449460391932523,-1.0607154839605666,-0.9531350498092837,-0.18503030756786298,-1.5562792473355676,-1.3423121353321164,-1.6411673937555622,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.955599428732293,-0.9112189808341554,-0.8658854057144936,-0.943199649419447,-0.13787654439248048,-0.8275106919381864,-0.9957346022603117,-1.0141866880439079,-1.1602863130970422,-1.6411673937555622,-1.4820613929999997,-1.6411673937555622
-1.991,-0.9121843195726951,-0.910357121,-0.12310407541151591,1.0000000000000009,-0.764091124611316,-0.9555994287322824,-0.9112189808341554,-0.8658851415648214,-0.9431983862737658,-0.13787654439248048,-0.8275106919381864,-0.9957346022603009,-1.0141866880439079,-1.1602859591453933,-0.14449460391932523,-1.060715483960555,-0.9531350498092837,-0.18503030756786298,-1.5562771632009986,-1.342311697380514,-1.6411651958803848,-1.4820613929999997,-1.8458198262869505,-1.565814248,-0.9555994287322824,-0.9112189808341554,-0.8658851415648214,-0.9431983862737658,-0.13787654439248048,-0.8275106919381864,-0.9957346022603009,-1.0141866880439079,-1.1602859591453933,-1.6411651958803848,-1.4820613929999997,-1.6411651958803848
