X,M1_G-D_short,M1_G-S_short,M2_G-D_short,M2_G-S_short,R1_open,R1_short,R2_short,M1_open,M2_open,M1_D-S_short,M2_D-S_short,R2_open
-1.478,0.9991377387339162,-0.9069194607057371,-0.6051600948620797,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4769999999999999,0.9991377386639637,-0.9069208469086265,-0.6051602853636606,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.476,0.9991377385922096,-0.9069222331115236,-0.6051604764604744,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.475,0.999137738518607,-0.9069236193144284,-0.6051606681543753,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.474,0.9991377384431087,-0.9069250055173411,-0.6051608604472236,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4729999999999999,0.9991377383656657,-0.9069263917202615,-0.605161053340885,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.472,0.9991377382862277,-0.9069277779231897,-0.6051612468372312,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.471,0.9991377382047436,-0.9069291641261256,-0.6051614409381395,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.47,0.9991377381211606,-0.9069305503290692,-0.6051616356454934,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4689999999999999,0.9991377380354247,-0.9069319365320205,-0.6051618309611818,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.468,0.9991377379474803,-0.9069333227349797,-0.6051620268870997,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.467,0.9991377378572707,-0.9069347089379466,-0.6051622234251479,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.466,0.9991377377647375,-0.9069360951409211,-0.605162420577233,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
-1.4649999999999999,0.9991377376698205,-0.9069374813439034,-0.6051626183452677,0.99985,0.99985,-0.9103570000000001,1.0000000000000007,-0.9103570000000001,1.0000000000000007,0.99985,-0.9999999999999993,
