eta0,eta1,eta2,eta3
1.500000013038516045e-03,9.613000154495239258e-01,-2.659999951720237732e-02,1.176699995994567871e+00
2.292999997735023499e-03,9.990100264549255371e-01,-4.659599959850311279e-01,7.091299891471862793e-01
6.026800178915436845e-07,3.116700099781155586e-04,2.565400004386901855e-01,1.784800052642822266e+00
1.702800043858587742e-03,9.772099852561950684e-01,-9.214499965310096741e-03,1.182299971580505371e+00
-2.000000000000000000e+00,2.000299930572509766e+00,-2.000000000000000000e+00,2.000299930572509766e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.000000029802322388e-01,4.000000059604644775e-01
