X,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/VoutY,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/VoutY,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/VoutY,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y
-2,-0.907808464,-0.910357121,-0.1206124,1,-0.765494175,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030192,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030192,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.999,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.998,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.997,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.996,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.995,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.994,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.993,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.992,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.991,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.99,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.989,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.988,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.987,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.986,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.985,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.984,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.983,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.982,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.981,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.98,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.979,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.978,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.977,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.976,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
-1.975,-0.907808464,-0.910357121,-0.1206124,1,-0.765494055,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-0.141570011,-1.049729785,-0.949369831,-0.181285262,-1.54881202,-1.334467526,-1.633292676,-1.482061393,-1.838528194,-1.565814248,-0.945702509,-0.907619341,-0.860946791,-0.938673952,-0.135085888,-0.829030062,-0.985422014,-1.010180327,-1.1536687,-1.633292676,-1.482061393
