X,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y,/VOUT_Y
-2,-0.821989281,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.788233839,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.788233839,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.999,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.998,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.997,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.996,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.995,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.994,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.993,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.992,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
-1.991,-0.821989862,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,-0.82164884,0.999019818,0.998195203,0.999097578,0.999875654,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.998760842,-0.78805666,0.996063953,0.999038691,0.998706938,0.810123122,0.982447455,0.999999994,0.982447455,0.996063953,0.999038691,0.996063953,0.999038691,0.998706938,0.999999994,0.982447455,0.996063953,0.986103313,0.992271929,1.010227924,1.011027155
