X,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout_robust Y,/Vout Y,/Vout_robust Y
-2,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.999,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.998,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.997,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.996,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.995,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.994,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.993,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.992,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
-1.991,0.516652142,0.051306654,0.516652142,0.051306654,0.381539917,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.097325117,0.027053813,0.999785214,0.055487524,0.522335316,0.534218315,0.585366877,0.528535141,0.940306898,1.033777911,0.534011654,0.057318612,0.05305108,0.701613609,0.795644299,0.096548292,0.95558371,0.027053813,0.999785214,0.055487524,0.522335316
