X,R-open,R_Short,R_redundant_open,R_redundant_short,M1_G-D short,M1_G-S short,M1_D-S short,M1_open,M1_red_open,M1_redundant_D-S_short,M1_red_G-D,M1_red_G-S,M_R1_open,M_R1_D-S_short,M_R1_G-D,M1_switch_open,M1_switch_G-S,M1_switch_D-S
-2.0,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.999,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.998,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.997,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.996,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.995,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.994,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.993,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.992,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
-1.991,0.0017028071022061875,0.0022929991697125986,0.0017045456556634396,0.0017061616480452777,0.001685836006103437,0.0017453455154966646,0.0018127009948843216,0.0018335897505094175,0.0017229478018999274,0.0017079640230737733,0.0018301239565241656,0.0017047171306291903,0.0017221253039874916,0.0016636377719645202,0.0018127009948843216,0.0017061616480452777,0.001685836006103437,0.0017453455154966646
